SeqID	Seq start	Seq stop	Seq length	Domain ID	Model ID	Model start	Model stop	Model size	E-value	Biscore	Accuracy	Species of the template used for the model
YP_498619.1	7	106	109	PF05437	HMMer-3	2	99	99	1.5e-24	83.4	0.96	HMMer-3 model
YP_498620.1	39	299	322	PF00561	A0A0F7KGA2_9PROT_48-359	2	241	241	6.1e-36	122.1	0.94	Nitrosomonas communis
YP_498621.1	19	298	312	PF09991	HMMer-3	2	290	290	1.1e-63	212.4	0.98	HMMer-3 model
YP_498622.1	78	136	655	PF13188	K1LJW2_9LACT_87-151	2	52	65	3.4e-07	27.6	0.88	Facklamia hominis CCUG 36813
YP_498622.1	147	299	655	PF05165	A0A0M2VZ99_9BACL_184-338	19	149	153	6.2e-35	117.6	0.95	Paenibacillus sp. DMB20
YP_498622.1	339	514	655	PF01368	B8HKB2_CYAP4_68-246	1	167	168	2.2e-37	126.2	0.88	Cyanothece sp. PCC 7425
YP_498622.1	587	646	655	PF02272	R7JE00_9PORP_274-339	3	58	59	3e-13	46.6	0.91	Parabacteroides sp. CAG:409
YP_498623.1	1	49	150	PF01281	HMMer-3	1	47	47	1.5e-20	69.9	0.96	HMMer-3 model
YP_498623.1	65	149	150	PF03948	HMMer-3	1	85	86	5.1e-29	98.0	0.97	HMMer-3 model
YP_498624.1	9	111	466	PF00772	HMMer-3	2	102	103	2.5e-34	114.9	0.98	HMMer-3 model
YP_498624.1	185	457	466	PF03796	HMMer-3	1	255	255	5.6e-116	383.7	0.93	HMMer-3 model
YP_498625.1	4	421	427	PF00709	HMMer-3	1	418	419	1.7e-177	587.9	0.98	HMMer-3 model
YP_498626.1	5	114	233	PF00072	HMMer-3	1	112	112	4.9e-30	101.4	0.98	HMMer-3 model
YP_498626.1	153	229	233	PF00486	HMMer-3	1	77	77	1.5e-28	96.1	0.98	HMMer-3 model
YP_498627.1	34	186	608	PF14827	Q4A159_STAS1_34-187	2	153	153	1.7e-52	175.0	0.99	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
YP_498627.1	185	255	608	PF00672	A0A0N0NFI6_9ACTN_378-445	3	64	65	2.4e-16	57.6	0.95	Actinobacteria bacterium OV320
YP_498627.1	261	366	608	PF00989	F2AAR4_RHIET_388-496	1	108	108	1.2e-16	58.7	0.86	Rhizobium etli CNPAF512
YP_498627.1	375	442	608	PF00512	HMMer-3	2	66	67	1.6e-19	67.1	0.93	HMMer-3 model
YP_498627.1	486	598	608	PF02518	A0A0F0HK28_9PSEU_278-400	2	114	115	6e-32	107.8	0.97	Saccharothrix sp. ST-888
YP_498628.1	1	426	427	PF07435	HMMer-3	14	432	438	1.2e-128	427.2	0.99	HMMer-3 model
YP_498629.1	30	253	262	PF09648	HMMer-3	7	230	230	3.4e-52	174.7	0.93	HMMer-3 model
YP_498630.1	27	224	266	PF12706	R5DB49_9FIRM_22-239	2	175	176	4.7e-35	118.2	0.96	Dorea sp. CAG:105
YP_498631.1	149	359	772	PF00149	J3K5J8_COCIM_39-265	2	208	208	5e-54	180.8	0.85	Coccidioides immitis RS
YP_498631.1	410	609	772	PF02872	Q6LG39_PHOPR_361-577	2	181	181	1.1e-45	153.3	0.91	Photobacterium profundum
YP_498633.1	1	158	159	PF02590	HMMer-3	1	154	154	2.3e-62	206.9	0.97	HMMer-3 model
YP_498636.1	428	476	581	PF02415	U6EEP6_9EURY_63-124	4	43	58	0.00053	17.3	0.93	Methanobacterium sp. MB1
YP_498637.1	2	125	150	PF01207	A0A0D9W345_9ORYZ_204-363	4	124	125	8.8e-19	65.4	0.9	Leersia perrieri
YP_498639.1	11	248	251	PF01925	A0A0M8PUC7_9BACI_9-253	1	235	236	5.9e-43	144.5	0.96	Bacillus decisifrondis
YP_498640.1	4	84	86	PF02583	I4D8Q4_DESAJ_15-98	2	81	81	8.5e-28	93.9	0.97	Desulfosporosinus acidiphilus SJ4
YP_498641.1	12	98	355	PF00581	A0A0A2JQJ2_PENEN_395-530	12	91	92	4e-23	79.1	0.89	Penicillium expansum
YP_498641.1	120	188	355	PF01206	C7P4Y0_HALMD_17-92	4	69	69	1e-18	64.4	0.95	Halomicrobium mukohataei DSM 12286
YP_498641.1	199	354	355	PF13686	HMMer-3	3	153	153	6.4e-57	189.1	0.98	HMMer-3 model
YP_498642.1	14	195	444	PF00753	A4JAF8_BURVG_8-192	2	179	179	6e-36	121.3	0.9	Burkholderia vietnamiensis G4
YP_498642.1	244	342	444	PF00581	I1MAC6_SOYBN_91-195	14	41	76	0.00033	18.0	0.8	Glycine max
YP_498642.1	360	441	444	PF00581	H0VCE9_CAVPO_109-211	5	88	90	2.5e-20	70.2	0.93	Cavia porcellus
YP_498643.1	5	304	397	PF07992	H2LK25_ORYLA_48-359	1	274	275	7.8e-49	164.0	0.95	Oryzias latipes
YP_498644.1	1	33	33	PF00582	A0A078GQK7_BRANA_1-58	24	55	56	3.8e-05	21.3	0.96	Brassica napus
YP_498645.1	1	230	310	PF01207	A0A0A8JDA3_BACSX_17-323	4	223	224	3.8e-56	187.6	0.97	Bacillus sp. OxB-1
YP_498646.1	3	67	67	PF12679	Q08XR8_STIAD_5-260	7	71	203	0.001	16.0	0.85	Stigmatella aurantiaca DW4/3-1
YP_498647.1	12	74	98	PF04993	Q8CYV8_STRR6_13-75	8	63	63	2.6e-22	76.0	0.96	Streptococcus pneumoniae R6
YP_498648.1	9	371	406	PF05977	A0A0D1WGR4_ANEMI_4-407	1	355	368	5.3e-64	213.8	0.94	Aneurinibacillus migulanus
YP_498649.1	1	154	183	PF02525	A0A0M2RAZ1_9PROT_2-215	3	155	156	6e-28	95.1	0.86	Kiloniella litopenaei
YP_498650.1	3	62	286	PF00126	HMMer-3	2	59	60	2.3e-17	60.1	0.96	HMMer-3 model
YP_498650.1	91	284	286	PF03466	HMMer-3	9	195	209	6.5e-17	58.9	0.91	HMMer-3 model
YP_498651.1	1	176	177	PF16157	HMMer-3	1	183	183	2.7e-61	204.1	0.97	HMMer-3 model
YP_498652.1	6	65	247	PF00126	HMMer-3	1	60	60	5e-17	59.0	0.98	HMMer-3 model
YP_498652.1	115	237	247	PF03466	A0A059W5B1_STRA9_86-295	111	158	185	0.00037	18.1	0.8	Streptomyces albulus
YP_498653.1	103	192	200	PF10864	A0A0N0E947_9BACI_19-149	6	87	131	0.00021	19.0	0.88	Bacillus sp. CHD6a
YP_498654.1	278	826	1050	PF02562	K1ZB60_9BACT_258-512	3	165	176	6.3e-17	59.2	0.82	uncultured bacterium (gcode 4)
YP_498654.1	856	1031	1050	PF13087	G2T491_ROSHA_852-1047	2	174	175	1.9e-24	83.6	0.86	Roseburia hominis A2-183
YP_498655.1	30	156	160	PF13000	T1GUA9_MEGSC_9-343	41	171	268	0.0001	19.2	0.85	Megaselia scalaris
YP_498656.1	45	189	328	PF00388	G8JQ63_ERECY_15-172	2	137	137	1.1e-31	107.0	0.92	Eremothecium cymbalariae DBVPG#7215
YP_498656.1	196	309	328	PF05686	W3XQF7_9PEZI_604-753	14	93	120	0.00045	17.7	0.83	Pestalotiopsis fici W106-1
YP_498657.1	29	253	256	PF04507	HMMer-3	1	225	225	1.4e-112	372.0	0.99	HMMer-3 model
YP_498658.1	29	253	256	PF04507	HMMer-3	1	225	225	5.9e-111	366.7	0.99	HMMer-3 model
YP_498659.1	29	253	256	PF04507	HMMer-3	1	225	225	2.3e-115	381.1	0.99	HMMer-3 model
YP_498660.1	28	252	255	PF04507	HMMer-3	1	225	225	2.3e-113	374.5	0.99	HMMer-3 model
YP_498661.1	3	151	732	PF02311	A4WG90_ENT38_17-186	11	155	155	1.6e-13	49.0	0.86	Enterobacter sp. 638
YP_498661.1	164	243	732	PF12833	HMMer-3	1	79	81	3e-22	76.1	0.97	HMMer-3 model
YP_498661.1	513	726	732	PF01229	R1CD77_EMIHU_237-462	3	203	203	1.4e-30	104.0	0.9	Emiliania huxleyi
YP_498662.1	74	385	392	PF01546	C0N9E6_9GAMM_69-382	2	297	300	2e-74	248.4	0.94	Methylophaga thiooxydans DMS010
YP_498663.1	22	408	462	PF07690	A0A0J7ZJA8_STRVR_28-420	7	385	385	5.1e-72	240.4	0.92	Streptomyces viridochromogenes
YP_498664.1	16	152	553	PF02690	HMMer-3	1	138	139	3.7e-51	170.2	0.99	HMMer-3 model
YP_498664.1	221	525	553	PF01384	F0RAS1_CELLC_371-741	1	298	298	4.9e-73	243.6	0.95	Cellulophaga lytica DSM 7489
YP_498665.1	22	520	591	PF06100	HMMer-3	1	496	496	2.7e-225	746.2	0.99	HMMer-3 model
YP_498666.1	13	284	290	PF06800	A0A0M2ZK19_9MYCO_5-279	1	269	270	2.4e-48	162.5	0.93	Mycolicibacterium elephantis
YP_498667.1	3	66	465	PF00392	G7WG51_DESOD_11-74	2	64	64	4.7e-16	55.9	0.98	Desulfosporosinus orientis DSM 765
YP_498667.1	141	458	465	PF00155	A0A0M9GFG5_9PSED_175-510	2	317	320	5.1e-67	224.3	0.94	Pseudomonas fuscovaginae
YP_498668.1	8	56	157	PF07853	A0A0D4DZD0_9ACTN_132-190	2	47	50	7.6e-15	51.9	0.95	Streptomyces sp. A02
YP_498669.1	14	526	530	PF02652	HMMer-3	1	521	522	7.1e-161	533.8	0.96	HMMer-3 model
YP_498670.1	2	26	516	PF04650	P02976_STAA8_2-26	1	25	25	6.5e-15	51.9	0.98	Staphylococcus aureus subsp. aureus NCTC 8325
YP_498670.1	36	88	516	PF02216	HMMer-3	2	53	53	8e-30	100.0	0.98	HMMer-3 model
YP_498670.1	97	149	516	PF02216	HMMer-3	1	53	53	2.1e-30	101.9	0.99	HMMer-3 model
YP_498670.1	155	207	516	PF02216	HMMer-3	1	53	53	9.6e-30	99.7	0.98	HMMer-3 model
YP_498670.1	213	265	516	PF02216	HMMer-3	1	53	53	4.9e-30	100.7	0.98	HMMer-3 model
YP_498670.1	271	323	516	PF02216	HMMer-3	1	53	53	6.4e-29	97.1	0.98	HMMer-3 model
YP_498670.1	423	466	516	PF01476	HMMer-3	1	43	44	1.9e-13	47.6	0.98	HMMer-3 model
YP_498670.1	477	513	516	PF00746	P02976_STAA8_474-513	1	39	39	9.5e-20	67.7	0.98	Staphylococcus aureus subsp. aureus NCTC 8325
YP_498671.1	32	99	250	PF13463	A0A0C5XIC1_NOCSI_32-99	1	65	67	2.9e-09	34.2	0.94	Pimelobacter simplex
YP_498671.1	156	246	250	PF03965	V5RS31_9BACT_11-127	1	83	103	2.5e-10	37.9	0.9	candidate division WWE3 bacterium RAAC2_WWE3_1
YP_498672.1	1	300	304	PF01032	HMMer-3	11	311	312	1e-82	275.0	0.99	HMMer-3 model
YP_498673.1	15	326	331	PF01032	HMMer-3	2	312	312	8.7e-90	298.2	0.98	HMMer-3 model
YP_498674.1	56	296	330	PF01497	A0A0A8JGR4_BACSX_72-310	1	229	233	4.6e-57	190.7	0.9	Bacillus sp. OxB-1
YP_498675.1	1	251	281	PF00291	B5HJK1_STRPR_16-292	17	263	263	4.4e-62	207.3	0.96	Streptomyces pristinaespiralis ATCC 25486
YP_498676.1	5	326	336	PF02423	Q2G1N2_STAA8_3-328	1	302	303	6.9e-80	266.0	0.96	Staphylococcus aureus subsp. aureus NCTC 8325
YP_498677.1	136	375	584	PF04183	Q2G1N1_STAA8_134-376	3	233	233	5.6e-58	193.7	0.97	Staphylococcus aureus subsp. aureus NCTC 8325
YP_498677.1	398	557	584	PF06276	A0A0F7NHN0_9ACTN_410-585	2	154	156	3.7e-33	112.4	0.93	Streptomyces sp. CNQ-509
YP_498678.1	15	399	418	PF05977	A1WDU5_VEREI_6-527	1	372	384	6.1e-58	193.9	0.95	Verminephrobacter eiseniae EF01-2
YP_498679.1	68	91	578	PF03990	Q97EW8_CLOAB_82-122	5	24	41	0.00031	17.8	0.94	Clostridium acetobutylicum ATCC 824
YP_498679.1	135	369	578	PF04183	E8SJM5_STAPH_135-366	2	225	225	1.4e-55	185.9	0.97	Staphylococcus pseudintermedius HKU10-03
YP_498679.1	393	567	578	PF06276	D3FRT2_BACPE_391-578	1	174	176	1.5e-33	113.9	0.91	Bacillus pseudofirmus OF4
YP_498680.1	155	403	616	PF04183	HMMer-3	2	239	239	1.5e-63	211.9	0.95	HMMer-3 model
YP_498680.1	423	589	616	PF06276	Q8YZR7_NOSS1_389-552	1	154	156	3.4e-44	148.4	0.9	Nostoc sp. PCC 7120 = FACHB-418
YP_498681.1	17	245	258	PF03328	R1CC26_EMIHU_39-253	1	209	214	3e-53	178.0	0.85	Emiliania huxleyi
YP_498682.1	30	269	400	PF02784	A0A0M2HJ49_9MICO_50-303	2	240	240	3.7e-57	190.8	0.94	Microbacterium hydrocarbonoxydans
YP_498682.1	265	391	400	PF00278	Q5H363_XANOR_300-421	1	118	120	1.9e-27	93.4	0.93	Xanthomonas oryzae pv. oryzae KACC 10331
YP_498683.1	23	203	254	PF06245	E6N4T6_9ARCH_22-206	1	179	179	4.1e-46	154.9	0.93	Candidatus Caldiarchaeum subterraneum
YP_498685.1	31	108	135	PF13273	E6MB46_STALU_3-100	57	124	128	0.00015	19.5	0.9	Staphylococcus lugdunensis M23590
YP_498686.1	9	165	208	PF09991	B1I6Q2_DESAP_15-285	5	116	267	5.2e-07	26.5	0.8	Candidatus Desulforudis audaxviator MP104C
YP_498687.1	5	199	258	PF00106	HMMer-3	1	190	195	4.1e-56	186.9	0.98	HMMer-3 model
YP_498687.1	212	256	258	PF13561	A0A0G4LB10_9PEZI_222-287	1	44	45	1.1e-10	38.7	0.95	Verticillium longisporum
YP_498688.1	15	39	40	PF08533	L0KB15_HALHC_601-657	7	27	57	1.9e-05	22.2	0.93	Halobacteroides halobius DSM 5150
YP_498689.1	8	305	326	PF16363	Q47Y09_COLP3_19-335	1	296	296	3.3e-78	260.6	0.94	Colwellia psychrerythraea 34H
YP_498690.1	45	224	230	PF02397	G2T570_ROSHA_252-432	1	179	180	1.8e-69	230.2	0.99	Roseburia hominis A2-183
YP_498691.1	81	384	388	PF05693	T1FXN5_HELRO_33-626	2	287	288	2.3e-51	172.1	0.88	Helobdella robusta
YP_498692.1	191	346	412	PF04932	HMMer-3	4	155	155	3.8e-14	50.0	0.85	HMMer-3 model
YP_498693.1	7	406	476	PF04506	B0D7K7_LACBS_12-480	3	403	410	8.1e-57	190.6	0.89	Laccaria bicolor S238N-H82
YP_498694.1	3	89	199	PF00081	E1RBS5_SPISS_2-89	1	86	87	4.5e-35	117.7	0.98	Sediminispirochaeta smaragdinae DSM 11293
YP_498694.1	94	194	199	PF02777	HMMer-3	3	101	102	1.5e-40	134.8	0.96	HMMer-3 model
YP_498695.1	30	166	199	PF17791	A0A0B1TF49_OESDE_199-315	72	109	125	0.001	16.4	0.81	Oesophagostomum dentatum
YP_498696.1	14	75	251	PF00392	Q7CJK7_YERPE_25-88	2	62	62	3e-21	72.5	0.98	Yersinia pestis
YP_498698.1	20	212	235	PF01048	D9RAJ9_CLOSW_23-251	2	187	190	1.5e-44	149.4	0.93	[Clostridium] saccharolyticum WM1
YP_498699.1	18	396	450	PF07690	E2Q1Z2_STRC2_45-439	14	388	388	1.8e-52	176.0	0.94	Streptomyces clavuligerus
YP_498700.1	3	215	220	PF01791	A0A0M9VLC4_9MICO_7-228	2	212	213	1.8e-90	299.6	0.99	Microbacterium chocolatum
YP_498701.1	6	303	392	PF01676	G7YYS3_CLOSI_2-314	1	291	292	6.4e-121	400.6	0.97	Clonorchis sinensis
YP_498701.1	313	380	392	PF01676	C5LS71_PERM5_1-86	4	73	75	2.9e-16	56.8	0.92	Perkinsus marinus ATCC 50983
YP_498702.1	75	270	271	PF00528	Q2SFT8_HAHCH_12-217	2	200	201	2.4e-28	96.6	0.94	Hahella chejuensis KCTC 2396
YP_498703.1	75	264	266	PF00528	A0KM17_AERHH_461-740	3	200	202	3.4e-28	96.3	0.93	Cucumis sativus
YP_498704.1	3	223	257	PF13166	L0AB40_CALLD_652-912	2	204	206	1.2e-45	153.6	0.88	Caldisphaera lagunensis DSM 15908
YP_498705.1	51	304	318	PF12974	HMMer-3	3	242	243	1.8e-72	241.2	0.97	HMMer-3 model
YP_498706.1	48	331	514	PF03345	Q5UY99_HALMA_79-341	4	230	231	8e-43	144.0	0.8	Haloarcula marismortui ATCC 43049
YP_498707.1	5	234	511	PF00149	C9AB95_ENTCA_3-234	4	194	195	2.8e-46	155.3	0.92	Enterococcus casseliflavus EC20
YP_498707.1	309	495	511	PF02872	B5HVS2_9ACTN_380-583	7	165	167	4e-34	115.4	0.94	Streptomyces sviceus ATCC 29083
YP_498709.1	82	158	161	PF02486	B9ECE3_MACCJ_137-311	2	62	90	6.6e-16	55.9	0.93	Macrococcus caseolyticus JCSC5402
YP_498711.1	1	67	95	PF16927	R7QYA4_9FIRM_7-221	78	141	201	4.5e-05	20.6	0.94	Roseburia sp. CAG:182
YP_498713.1	18	411	869	PF00171	G8B0H3_AZOBR_1-405	5	377	379	2e-60	202.6	0.96	Azospirillum brasilense Sp245
YP_498713.1	467	857	869	PF00465	HMMer-3	1	361	364	1.4e-113	376.8	0.93	HMMer-3 model
YP_498714.1	7	136	222	PF02706	R6S4Z0_9BACE_4-206	3	153	154	7.9e-31	104.6	0.96	Bacteroides finegoldii CAG:203
YP_498714.1	128	194	222	PF13807	A0A0A8WES2_CLOSO_129-196	2	66	68	8.9e-16	55.4	0.97	Paeniclostridium sordellii
YP_498715.1	41	216	228	PF10609	H0QNF6_ARTGO_306-500	2	173	176	4.5e-43	144.5	0.97	Arthrobacter globiformis NBRC 12137
YP_498716.1	3	206	254	PF02811	B4EVM7_PROMH_5-212	1	188	192	1.6e-28	97.4	0.83	Proteus mirabilis HI4320
YP_498717.1	62	239	607	PF13727	A9B7R1_HERA2_76-254	1	177	177	2.3e-43	145.4	0.92	Herpetosiphon aurantiacus DSM 785
YP_498717.1	284	569	607	PF02719	HMMer-3	1	292	294	2.7e-127	421.3	0.98	HMMer-3 model
YP_498718.1	7	283	342	PF02719	HMMer-3	1	292	294	8e-106	350.8	0.98	HMMer-3 model
YP_498718.1	284	331	342	PF08485	HMMer-3	1	48	48	3.6e-21	72.0	0.99	HMMer-3 model
YP_498719.1	3	185	369	PF01370	A9NH24_ACHLI_3-191	1	184	184	4.3e-31	105.9	0.97	Acholeplasma laidlawii PG-8A
YP_498719.1	250	360	369	PF05523	A0A0A1MDE5_9BACI_246-365	5	117	118	3.6e-25	85.4	0.97	Oceanobacillus oncorhynchi
YP_498720.1	24	361	374	PF02350	HMMer-3	7	346	347	1.9e-89	297.2	0.96	HMMer-3 model
YP_498721.1	10	163	208	PF16314	R7JPT4_9BACT_54-574	73	205	208	2.2e-21	73.7	0.83	Alistipes putredinis CAG:67
YP_498722.1	83	368	369	PF00982	F0G0N8_9BURK_1-353	1	303	303	5.3e-32	108.8	0.87	Burkholderia sp. TJI49
YP_498723.1	193	326	388	PF04932	A0A0G0DNB6_9BACT_200-357	9	151	152	4e-11	40.5	0.81	Parcubacteria group bacterium GW2011_GWC1_34_10
YP_498724.1	7	394	401	PF04506	G2QWL3_THITE_20-578	9	401	409	5.6e-20	69.3	0.8	Thermothielavioides terrestris NRRL 8126
YP_498725.1	21	199	401	PF13579	K1M3G8_9BACT_15-187	4	170	170	1.2e-25	87.7	0.86	Cecembia lonarensis LW9
YP_498725.1	191	401	401	PF00982	W5F5E5_WHEAT_1-267	2	204	205	1.3e-17	61.8	0.83	Triticum aestivum
YP_498726.1	2	176	185	PF02397	E6MB58_STALU_7-184	1	174	175	1e-68	227.6	0.99	Staphylococcus lugdunensis M23590
YP_498727.1	5	209	295	PF01370	E8U3F8_DEIML_3-236	1	226	228	2.1e-43	146.1	0.86	Deinococcus maricopensis DSM 21211
YP_498728.1	1	184	420	PF03721	HMMer-3	1	181	187	9.3e-61	202.0	0.97	HMMer-3 model
YP_498728.1	198	267	420	PF00984	A0A0G1L4E3_9BACT_147-239	1	69	70	7.8e-30	100.5	0.98	Candidatus Jorgensenbacteria bacterium GW2011_GWA2_45_13
YP_498728.1	308	400	420	PF03720	E8SF28_STAPH_308-401	2	91	92	7.2e-26	87.8	0.97	Staphylococcus pseudintermedius HKU10-03
YP_498729.1	22	362	381	PF02350	HMMer-3	1	347	347	1.4e-119	396.4	0.96	HMMer-3 model
YP_498730.1	1	77	108	PF03992	D3E9W0_GEOS4_3-82	1	76	76	1.5e-18	64.3	0.95	Paenibacillus sp. Y412MC10
YP_498731.1	2	117	127	PF04304	HMMer-3	1	112	115	6.8e-38	126.6	0.96	HMMer-3 model
YP_498732.1	21	483	495	PF00171	HMMer-3	2	462	462	9.9e-174	575.5	0.99	HMMer-3 model
YP_498733.1	32	224	319	PF01545	S9V1X1_9TRYP_52-364	1	197	197	9.3e-64	212.0	0.99	Angomonas deanei
YP_498733.1	228	304	319	PF16916	A1A2G4_BIFAA_221-301	1	75	76	4.1e-21	72.4	0.94	Bifidobacterium adolescentis ATCC 15703
YP_498735.1	95	170	170	PF14026	E8SGS7_STAPH_95-170	1	76	76	3.6e-44	146.2	0.99	Staphylococcus pseudintermedius HKU10-03
YP_498736.1	7	206	246	PF09818	K0YW61_9ACTO_36-481	5	177	184	2e-46	155.5	0.88	Schaalia turicensis ACS-279-V-Col4
YP_498737.1	33	261	324	PF13379	R6BWX5_9FIRM_17-255	2	220	228	2.7e-36	122.8	0.89	Firmicutes bacterium CAG:56
YP_498738.1	47	81	253	PF06645	A0A0F4ZFY0_9PEZI_12-67	5	33	49	0.00097	16.4	0.92	Thielaviopsis punctulata
YP_498738.1	79	249	253	PF00528	D5WEZ3_BURSC_118-292	1	167	170	1.9e-32	109.8	0.99	Paraburkholderia sp. CCGE1002
YP_498739.1	2	92	343	PF02771	A0A059MTZ3_9NOCA_3-108	10	95	102	0.00079	17.7	0.83	Rhodococcus aetherivorans
YP_498739.1	98	191	343	PF02770	A0A0A1DLL5_NOCSI_119-217	11	96	96	3.3e-09	34.3	0.9	Pimelobacter simplex
YP_498739.1	239	327	343	PF08028	E5UJ67_NEIMU_246-345	2	90	91	1e-13	49.0	0.96	Neisseria mucosa C102
YP_498740.1	6	115	119	PF10057	D5DNP7_BACMQ_2-111	3	109	109	6.1e-32	107.2	0.98	Bacillus megaterium QM B1551
YP_498741.1	52	318	341	PF00389	A0A0D2NAE5_GOSRA_20-333	3	262	263	2.2e-87	289.8	0.96	Gossypium raimondii
YP_498742.1	8	385	416	PF03219	A0A0F5MNC2_9RICK_2-453	7	355	361	7.2e-45	151.0	0.87	Candidatus Arcanobacter lacustris
YP_498743.1	7	154	2391	PF07247	A0A0N0DDA9_9HYPO_11-213	26	150	152	7.3e-11	39.8	0.82	Fusarium langsethiae
YP_498743.1	421	806	2391	PF00501	C4QXL0_PICPG_251-716	1	419	419	9.4e-100	332.0	0.9	Komagataella phaffii GS115
YP_498743.1	808	895	2391	PF14535	Q4C7P5_CROWT_508-606	1	93	94	1.8e-17	61.1	0.92	Crocosphaera watsonii WH 8501
YP_498743.1	914	977	2391	PF00550	F9F463_FUSOF_555-622	2	64	64	5.1e-17	59.3	0.98	Fusarium oxysporum Fo5176
YP_498743.1	993	1411	2391	PF00668	HMMer-3	2	439	457	3.3e-91	303.6	0.94	HMMer-3 model
YP_498743.1	1446	1834	2391	PF00501	C4QXL0_PICPG_251-716	2	419	419	4.9e-93	309.9	0.89	Komagataella phaffii GS115
YP_498743.1	1836	1922	2391	PF14535	Q4C7P5_CROWT_508-606	1	93	94	2e-17	60.9	0.96	Crocosphaera watsonii WH 8501
YP_498743.1	1943	2005	2391	PF00550	F9F463_FUSOF_555-622	4	64	64	1.1e-13	48.6	0.96	Fusarium oxysporum Fo5176
YP_498743.1	2049	2282	2391	PF07993	L8EXD4_STRRM_660-897	1	235	236	4.4e-38	128.7	0.8	Streptomyces rimosus subsp. rimosus ATCC 10970
